noise_seed,noise_condition,bit_depth,noise_mean_before,noise_mean_after,particle_sigma,amplitude_snr,interpolation_order,theta_deg,phi_deg,particle_id,top_k,z,y,x,radius_xy,rotated_z,rotated_y,rotated_x,peak_contrast_before,peak_contrast_after,peak_contrast_retention,peak_contrast_drop,integrated_contrast_before,integrated_contrast_after,integrated_contrast_retention,integrated_contrast_drop,peak_cnr_before,peak_cnr_after,peak_cnr_retention,integrated_cnr_before,integrated_cnr_after,integrated_cnr_retention
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,31,7,384.0,733.7025146484375,640.0,256.0000097684386,384.3172011715021,692.8729002696269,693.3539640646388,20.0,19.0,0.95,0.050000000000000044,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,32,7,384.0,844.5537719726562,704.0,384.00001465265785,384.475170264984,783.3825737091437,783.8634956621324,20.0,19.0,0.95,0.050000000000000044,124.0,125.0,1.0080645161290323,-0.008064516129032251,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,33,7,384.0,635.6384887695312,545.1288452148438,127.99998550969676,384.1129640048242,622.7047867325794,576.3348061814971,20.0,20.0,1.0,0.0,125.0,127.0,1.016,-0.016000000000000014,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,34,7,384.0,759.2770385742188,578.2576904296875,256.0000299748263,384.2246650526812,733.5560790299992,640.3347272903795,20.0,19.0,0.95,0.050000000000000044,123.0,125.0,1.016260162601626,-0.016260162601626105,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,35,7,384.0,882.91552734375,611.3865356445312,384.0000154845229,384.3363660729671,844.4073123719852,704.334632602225,20.0,19.0,0.95,0.050000000000000044,125.0,129.0,1.032,-0.03200000000000003,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,36,7,256.0,512.0,640.0,128.0,256.2172477308664,478.7247156174707,636.196620353322,20.0,19.0,0.95,0.050000000000000044,122.0,124.0,1.0163934426229508,-0.016393442622950838,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,37,7,256.0,512.0,768.0,256.0,256.43303752209533,445.595877844348,759.8349378061575,20.0,18.0,0.9,0.09999999999999998,122.0,121.0,0.9918032786885246,0.008196721311475419,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,38,7,256.0,512.0,896.0,384.0,256.64882731332426,412.46704007122537,883.4732552589929,20.0,18.0,0.9,0.09999999999999998,122.0,124.0,1.0163934426229508,-0.016393442622950838,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,39,7,256.0,545.1288452148438,635.6384887695312,127.99998550969676,256.2248599451821,511.85356497749507,640.5580934551057,20.0,19.0,0.95,0.050000000000000044,125.0,127.0,1.016,-0.016000000000000014,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,40,7,256.0,578.2576904296875,759.2770385742188,256.0000299748263,256.44826205362335,511.853560767336,768.5579429650687,20.0,19.0,0.95,0.050000000000000044,123.0,123.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,41,7,256.0,611.3865356445312,882.91552734375,384.0000154845229,256.671664059168,511.8535723542378,896.5577335196879,20.0,19.0,0.95,0.050000000000000044,125.0,127.0,1.016,-0.016000000000000014,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,42,7,256.0,576.0,622.8512573242188,128.0000048842193,256.2172477403743,544.9823897040255,636.1966258009525,20.0,19.0,0.95,0.050000000000000044,123.0,123.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,43,7,256.0,640.0,733.7025146484375,256.0000097684386,256.43303754111116,578.1112260174577,759.8349487014184,20.0,19.0,0.95,0.050000000000000044,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,44,7,256.0,704.0,844.5537719726562,384.00001465265785,256.648827341848,611.2400623308902,883.4732716018842,20.0,19.0,0.95,0.050000000000000044,124.0,125.0,1.0080645161290323,-0.008064516129032251,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,45,7,256.0,602.5096435546875,602.5096435546875,127.99996544059366,256.1949297213611,575.8535361108901,623.409355819548,20.0,20.0,1.0,0.0,128.0,128.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,46,7,256.0,693.0193481445312,693.0193481445312,256.00001719793306,256.3884016335524,639.8535619895598,734.26048349099,20.0,19.0,0.95,0.050000000000000044,122.0,122.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,47,7,256.0,783.5289916992188,783.5289916992188,383.9999826385267,256.581873415276,703.8535447098566,845.1115364100516,20.0,20.0,1.0,0.0,128.0,129.0,1.0078125,-0.0078125,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,48,7,256.0,622.8512573242188,576.0,128.0000048842193,256.15942703311936,602.3632268301101,603.0678344979802,20.0,19.0,0.95,0.050000000000000044,123.0,123.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,49,7,256.0,733.7025146484375,640.0,256.0000097684386,256.3173961266013,692.8729002696269,693.5773660954738,20.0,19.0,0.95,0.050000000000000044,123.0,122.0,0.991869918699187,0.008130081300813052,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,50,7,256.0,844.5537719726562,704.0,384.00001465265785,256.4753652200832,783.3825737091437,784.0868976929673,20.0,19.0,0.95,0.050000000000000044,124.0,124.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,51,7,256.0,635.6384887695312,545.1288452148438,127.99998550969676,256.1131589599234,622.7047867325794,576.5582082123321,20.0,19.0,0.95,0.050000000000000044,125.0,125.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,52,7,256.0,759.2770385742188,578.2576904296875,256.0000299748263,256.22486000778036,733.5560790299992,640.5581293212146,20.0,18.0,0.9,0.09999999999999998,123.0,123.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,53,7,256.0,882.91552734375,611.3865356445312,384.0000154845229,256.3365610280662,844.4073123719852,704.5580346330601,20.0,19.0,0.95,0.050000000000000044,125.0,128.0,1.024,-0.02400000000000002,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,54,7,128.0,512.0,640.0,128.0,128.21744268596558,478.7247156174707,636.420022384157,20.0,19.0,0.95,0.050000000000000044,122.0,124.0,1.0163934426229508,-0.016393442622950838,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,55,7,128.0,512.0,768.0,256.0,128.4332324771945,445.595877844348,760.0583398369926,20.0,19.0,0.95,0.050000000000000044,122.0,122.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,56,7,128.0,512.0,896.0,384.0,128.64902226842347,412.46704007122537,883.696657289828,20.0,19.0,0.95,0.050000000000000044,122.0,122.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,57,7,128.0,545.1288452148438,635.6384887695312,127.99998550969676,128.2250549002813,511.85356497749507,640.7814954859407,20.0,20.0,1.0,0.0,125.0,127.0,1.016,-0.016000000000000014,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,58,7,128.0,578.2576904296875,759.2770385742188,256.0000299748263,128.44845700872253,511.853560767336,768.7813449959037,20.0,19.0,0.95,0.050000000000000044,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,59,7,128.0,611.3865356445312,882.91552734375,384.0000154845229,128.67185901426717,511.8535723542378,896.7811355505229,20.0,19.0,0.95,0.050000000000000044,125.0,126.0,1.008,-0.008000000000000007,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,60,7,128.0,576.0,622.8512573242188,128.0000048842193,128.2174426954735,544.9823897040255,636.4200278317875,20.0,19.0,0.95,0.050000000000000044,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,61,7,128.0,640.0,733.7025146484375,256.0000097684386,128.43323249621037,578.1112260174577,760.0583507322534,20.0,19.0,0.95,0.050000000000000044,123.0,123.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,62,7,128.0,704.0,844.5537719726562,384.00001465265785,128.6490222969472,611.2400623308902,883.6966736327192,20.0,20.0,1.0,0.0,124.0,126.0,1.0161290322580645,-0.016129032258064502,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,63,7,128.0,602.5096435546875,602.5096435546875,127.99996544059366,128.19512467646027,575.8535361108901,623.632757850383,20.0,20.0,1.0,0.0,128.0,129.0,1.0078125,-0.0078125,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,64,7,128.0,693.0193481445312,693.0193481445312,256.00001719793306,128.38859658865155,639.8535619895598,734.4838855218251,20.0,19.0,0.95,0.050000000000000044,122.0,124.0,1.0163934426229508,-0.016393442622950838,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,65,7,128.0,783.5289916992188,783.5289916992188,383.9999826385267,128.5820683703752,703.8535447098566,845.3349384408865,20.0,20.0,1.0,0.0,128.0,130.0,1.015625,-0.015625,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,66,7,128.0,622.8512573242188,576.0,128.0000048842193,128.15962198821853,602.3632268301101,603.2912365288151,20.0,19.0,0.95,0.050000000000000044,123.0,125.0,1.016260162601626,-0.016260162601626105,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,67,7,128.0,733.7025146484375,640.0,256.0000097684386,128.31759108170044,692.8729002696269,693.8007681263088,20.0,20.0,1.0,0.0,123.0,121.0,0.983739837398374,0.016260162601625994,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,68,7,128.0,844.5537719726562,704.0,384.00001465265785,128.47556017518235,783.3825737091437,784.3102997238024,20.0,18.0,0.9,0.09999999999999998,124.0,125.0,1.0080645161290323,-0.008064516129032251,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,69,7,128.0,635.6384887695312,545.1288452148438,127.99998550969676,128.11335391502254,622.7047867325794,576.781610243167,20.0,20.0,1.0,0.0,125.0,126.0,1.008,-0.008000000000000007,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,70,7,128.0,759.2770385742188,578.2576904296875,256.0000299748263,128.2250549628795,733.5560790299992,640.7815313520496,20.0,19.0,0.95,0.050000000000000044,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,71,7,128.0,882.91552734375,611.3865356445312,384.0000154845229,128.33675598316543,844.4073123719852,704.781436663895,20.0,20.0,1.0,0.0,125.0,129.0,1.032,-0.03200000000000003,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,0,7,512.0,512.0,640.0,128.0,514.1684006741262,478.7247156174707,635.7232279869054,20.0,19.0,0.95,0.050000000000000044,122.0,124.0,1.0163934426229508,-0.016393442622950838,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,1,7,512.0,512.0,768.0,256.0,516.3261901280355,445.595877844348,759.3429030086216,20.0,19.0,0.95,0.050000000000000044,122.0,124.0,1.0163934426229508,-0.016393442622950838,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,2,7,512.0,512.0,896.0,384.0,518.4839795819446,412.46704007122537,882.9625780303377,20.0,19.0,0.95,0.050000000000000044,122.0,122.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,3,7,512.0,545.1288452148438,635.6384887695312,127.99998550969676,514.2445189912986,511.85356497749507,640.0840434571105,20.0,20.0,1.0,0.0,125.0,127.0,1.016,-0.016000000000000014,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,4,7,512.0,578.2576904296875,759.2770385742188,256.0000299748263,516.4784277912944,511.853560767336,768.0645928954863,20.0,19.0,0.95,0.050000000000000044,123.0,123.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,5,7,512.0,611.3865356445312,882.91552734375,384.0000154845229,518.7123355623761,511.8535723542378,896.0450833874074,20.0,20.0,1.0,0.0,125.0,125.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,6,7,512.0,576.0,622.8512573242188,128.0000048842193,514.1684007692006,544.9823897040255,635.7232334337144,20.0,20.0,1.0,0.0,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,7,7,512.0,640.0,733.7025146484375,256.0000097684386,516.3261903181842,578.1112260174577,759.3429139022396,20.0,20.0,1.0,0.0,123.0,123.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,8,7,512.0,704.0,844.5537719726562,384.00001465265785,518.4839798671678,611.2400623308902,882.9625943707648,20.0,19.0,0.95,0.050000000000000044,124.0,124.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,9,7,512.0,602.5096435546875,602.5096435546875,127.99996544059366,513.9452317963562,575.8535361108901,622.9378915422802,20.0,21.0,1.05,-0.050000000000000044,128.0,128.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,10,7,512.0,693.0193481445312,693.0193481445312,256.00001719793306,515.8798536771063,639.8535619895598,733.7723048604807,20.0,20.0,1.0,0.0,122.0,122.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,11,7,512.0,783.5289916992188,783.5289916992188,383.9999826385267,517.8144742532454,703.8535447098566,844.6066434375718,20.0,21.0,1.05,-0.050000000000000044,128.0,130.0,1.015625,-0.015625,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,12,7,512.0,622.8512573242188,576.0,128.0000048842193,513.59022275799,602.3632268301101,602.5994373557069,20.0,19.0,0.95,0.050000000000000044,123.0,126.0,1.024390243902439,-0.024390243902439046,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,13,7,512.0,733.7025146484375,640.0,256.0000097684386,515.1698342957629,692.8729002696269,693.0953217462244,20.0,20.0,1.0,0.0,123.0,123.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,14,7,512.0,844.5537719726562,704.0,384.00001465265785,516.7494458335359,783.3825737091437,783.591206136742,20.0,19.0,0.95,0.050000000000000044,124.0,126.0,1.0161290322580645,-0.016129032258064502,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,15,7,512.0,635.6384887695312,545.1288452148438,127.99998550969676,513.1275652808848,622.7047867325794,576.0938082441728,20.0,20.0,1.0,0.0,125.0,127.0,1.016,-0.016000000000000014,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,16,7,512.0,759.2770385742188,578.2576904296875,256.0000299748263,514.2445196172495,733.5560790299992,640.0840793178113,20.0,19.0,0.95,0.050000000000000044,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,17,7,512.0,882.91552734375,611.3865356445312,384.0000154845229,515.3614736779174,844.4073123719852,704.0743345967949,20.0,20.0,1.0,0.0,125.0,128.0,1.024,-0.02400000000000002,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,18,7,384.0,512.0,640.0,128.0,386.1878956941081,478.7247156174707,637.9571360108777,20.0,19.0,0.95,0.050000000000000044,122.0,122.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,19,7,384.0,512.0,768.0,256.0,388.3456851480173,445.595877844348,761.5768110325939,20.0,18.0,0.9,0.09999999999999998,122.0,122.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,20,7,384.0,512.0,896.0,384.0,390.50347460192654,412.46704007122537,885.19648605431,20.0,18.0,0.9,0.09999999999999998,122.0,123.0,1.0081967213114753,-0.008196721311475308,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,21,7,384.0,545.1288452148438,635.6384887695312,127.99998550969676,386.2640140112805,511.85356497749507,642.3179514810828,20.0,20.0,1.0,0.0,125.0,129.0,1.032,-0.03200000000000003,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,22,7,384.0,578.2576904296875,759.2770385742188,256.0000299748263,388.49792281127634,511.853560767336,770.2985009194585,20.0,19.0,0.95,0.050000000000000044,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,23,7,384.0,611.3865356445312,882.91552734375,384.0000154845229,390.73183058235793,511.8535723542378,898.2789914113798,20.0,20.0,1.0,0.0,125.0,126.0,1.008,-0.008000000000000007,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,1.0,24,7,384.0,576.0,622.8512573242188,128.0000048842193,386.1878957891825,544.9823897040255,637.9571414576867,20.0,20.0,1.0,0.0,123.0,123.0,1.0,0.0,,,,,,
