noise_seed,noise_condition,bit_depth,noise_mean_before,noise_mean_after,particle_sigma,amplitude_snr,interpolation_order,theta_deg,phi_deg,particle_id,top_k,z,y,x,radius_xy,rotated_z,rotated_y,rotated_x,peak_contrast_before,peak_contrast_after,peak_contrast_retention,peak_contrast_drop,integrated_contrast_before,integrated_contrast_after,integrated_contrast_retention,integrated_contrast_drop,peak_cnr_before,peak_cnr_after,peak_cnr_retention,integrated_cnr_before,integrated_cnr_after,integrated_cnr_retention
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,0,7,512.0,512.0,640.0,128.0,512.2168578206681,478.7247156174707,635.7498162916521,20.0,19.0,0.95,0.050000000000000044,122.0,124.0,1.0163934426229508,-0.016393442622950838,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,1,7,512.0,512.0,768.0,256.0,512.432647611897,445.595877844348,759.3881337444876,20.0,18.0,0.9,0.09999999999999998,122.0,123.0,1.0081967213114753,-0.008196721311475308,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,2,7,512.0,512.0,896.0,384.0,512.648437403126,412.46704007122537,883.026451197323,20.0,19.0,0.95,0.050000000000000044,122.0,123.0,1.0081967213114753,-0.008196721311475308,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,3,7,512.0,545.1288452148438,635.6384887695312,127.99998550969676,512.2244700349838,511.85356497749507,640.1112893934358,20.0,20.0,1.0,0.0,125.0,127.0,1.016,-0.016000000000000014,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,4,7,512.0,578.2576904296875,759.2770385742188,256.0000299748263,512.447872143425,511.853560767336,768.1111389033988,20.0,19.0,0.95,0.050000000000000044,123.0,123.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,5,7,512.0,611.3865356445312,882.91552734375,384.0000154845229,512.6712741489697,511.8535723542378,896.1109294580178,20.0,20.0,1.0,0.0,125.0,126.0,1.008,-0.008000000000000007,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,6,7,512.0,576.0,622.8512573242188,128.0000048842193,512.216857830176,544.9823897040255,635.7498217392825,20.0,20.0,1.0,0.0,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,7,7,512.0,640.0,733.7025146484375,256.0000097684386,512.4326476309128,578.1112260174577,759.3881446397485,20.0,19.0,0.95,0.050000000000000044,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,8,7,512.0,704.0,844.5537719726562,384.00001465265785,512.6484374316497,611.2400623308902,883.0264675402143,20.0,20.0,1.0,0.0,124.0,126.0,1.0161290322580645,-0.016129032258064502,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,9,7,512.0,602.5096435546875,602.5096435546875,127.99996544059366,512.1945398111628,575.8535361108901,622.9625517578779,20.0,21.0,1.05,-0.050000000000000044,128.0,128.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,10,7,512.0,693.0193481445312,693.0193481445312,256.00001719793306,512.3880117233541,639.8535619895598,733.8136794293201,20.0,19.0,0.95,0.050000000000000044,122.0,123.0,1.0081967213114753,-0.008196721311475308,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,11,7,512.0,783.5289916992188,783.5289916992188,383.9999826385267,512.5814835050777,703.8535447098566,844.6647323483816,20.0,20.0,1.0,0.0,128.0,130.0,1.015625,-0.015625,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,12,7,512.0,622.8512573242188,576.0,128.0000048842193,512.1590371229211,602.3632268301101,602.6210304363102,20.0,19.0,0.95,0.050000000000000044,123.0,126.0,1.024390243902439,-0.024390243902439046,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,13,7,512.0,733.7025146484375,640.0,256.0000097684386,512.317006216403,692.8729002696269,693.1305620338038,20.0,20.0,1.0,0.0,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,14,7,512.0,844.5537719726562,704.0,384.00001465265785,512.4749753098848,783.3825737091437,783.6400936312974,20.0,19.0,0.95,0.050000000000000044,124.0,126.0,1.0161290322580645,-0.016129032258064502,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,15,7,512.0,635.6384887695312,545.1288452148438,127.99998550969676,512.1127690497251,622.7047867325794,576.1114041506621,20.0,20.0,1.0,0.0,125.0,126.0,1.008,-0.008000000000000007,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,16,7,512.0,759.2770385742188,578.2576904296875,256.0000299748263,512.2244700975821,733.5560790299992,640.1113252595445,20.0,19.0,0.95,0.050000000000000044,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,17,7,512.0,882.91552734375,611.3865356445312,384.0000154845229,512.3361711178679,844.4073123719852,704.11123057139,20.0,20.0,1.0,0.0,125.0,127.0,1.016,-0.016000000000000014,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,18,7,384.0,512.0,640.0,128.0,384.21705277576723,478.7247156174707,635.973218322487,20.0,19.0,0.95,0.050000000000000044,122.0,122.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,19,7,384.0,512.0,768.0,256.0,384.4328425669962,445.595877844348,759.6115357753225,20.0,18.0,0.9,0.09999999999999998,122.0,123.0,1.0081967213114753,-0.008196721311475308,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,20,7,384.0,512.0,896.0,384.0,384.64863235822514,412.46704007122537,883.249853228158,20.0,18.0,0.9,0.09999999999999998,122.0,123.0,1.0081967213114753,-0.008196721311475308,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,21,7,384.0,545.1288452148438,635.6384887695312,127.99998550969676,384.22466499008294,511.85356497749507,640.3346914242708,20.0,20.0,1.0,0.0,125.0,129.0,1.032,-0.03200000000000003,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,22,7,384.0,578.2576904296875,759.2770385742188,256.0000299748263,384.4480670985242,511.853560767336,768.3345409342337,20.0,19.0,0.95,0.050000000000000044,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,23,7,384.0,611.3865356445312,882.91552734375,384.0000154845229,384.6714691040688,511.8535723542378,896.3343314888529,20.0,19.0,0.95,0.050000000000000044,125.0,125.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,24,7,384.0,576.0,622.8512573242188,128.0000048842193,384.2170527852752,544.9823897040255,635.9732237701174,20.0,20.0,1.0,0.0,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,25,7,384.0,640.0,733.7025146484375,256.0000097684386,384.43284258601204,578.1112260174577,759.6115466705834,20.0,19.0,0.95,0.050000000000000044,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
